station_id,station_name,bin_number,depth,latitude,longitude,station_type
ACT0091,"Eastport, Friar Roads",1,,44.9,-66.9833,Subordinate
ACT0101,"Western Passage, off Kendall Head",1,,44.9317,-67.0,Subordinate
ACT0106,"Western Passage, off Frost Ledge",1,,44.965,-67.0317,Subordinate
ACT0111,"Pond Point, 7.6 miles SSE of",1,,44.335,-67.5033,Subordinate
ACT0116,"Moosabec Reach, east end",1,,44.5285,-67.5727,Subordinate
ACT0121,"Moosabec Reach, west end",1,,44.5208,-67.65,Subordinate
ACT0131,"Casco Passage, east end, Blue Hill Bay",1,,44.195,-68.465,Subordinate
ACT0136,"Hat Island, SE of, Jericho Bay",1,,44.1333,-68.495,Subordinate
ACT0141,"Clam I., NW of, Deer I. Thorofare",1,14.0,44.1645,-68.6038,Subordinate
ACT0146,"Grog Island, E of, Deer Island Thorofare",1,14.0,44.162,-68.6205,Subordinate
ACT0151,"Russ Island, N of, Deer Island Thorofare",1,14.0,44.153,-68.6463,Subordinate
ACT0161,"Isle au Haut, 0.8 mile E of Rich's Pt",1,11.0,44.0833,-68.5833,Subordinate
ACT0166,"Mark Island, north of",1,14.0,44.1367,-68.7028,Subordinate
ACT0171,"Widow Island-Stimpson Island, between",1,14.0,44.1325,-68.825,Subordinate
ACT0176,"Eagle Island, 0.4 nautical mile S of",1,14.0,44.1938,-68.7822,Subordinate
ACT0181,"Burnt Island-Oak Island, between",1,14.0,44.1912,-68.8188,Subordinate
ACT0186,"Butter I., 0.3 nautical mile SE of",1,14.0,44.2222,-68.7778,Subordinate
ACT0191,"Bradbury Island, ESE of",1,14.0,44.2338,-68.7345,Subordinate
ACT0196,"Compass Island, 0.4 nmi. ENE of",1,14.0,44.2167,-68.8555,Subordinate
ACT0201,"Scrag Island, 0.3 nautical mile SW of",1,14.0,44.2222,-68.8437,Subordinate
ACT0206,"Great Spruce Head Island, west of",1,14.0,44.2383,-68.8363,Subordinate
ACT0216,"Pickering Island, south of",1,14.0,44.2605,-68.7563,Subordinate
ACT0221,"Little Eaton Island, NNE of",1,14.0,44.2742,-68.7312,Subordinate
ACT0231,"Hog Island, ESE of",1,14.0,44.2753,-68.7812,Subordinate
ACT0236,"Little Deer I.-Sheep I., between",1,14.0,44.2797,-68.7238,Subordinate
