noaa_station_id,nws_station_id,noaa_station_name,nws_station_name,display_name,lat,lon,state,station_type,supports_water_level,distance_km
1611400,PHLI,Nawiliwili,Lihue Airport,Nawiliwili (1611400),21.9544,-159.3561,Hawaii,Unknown,False,2.92
1612340,PHNL,Honolulu,Honolulu International Airport,Honolulu (1612340),21.303333,-157.86453,Hawaii,Unknown,False,8.54
1612401,PHNL,Pearl Harbor,Honolulu International Airport,Pearl Harbor (1612401),21.3675,-157.9639,Hawaii,Unknown,False,4.01
1612480,PHNG,Mokuoloe,Kaneohe Bay MCAF,Mokuoloe (1612480),21.433056,-157.79,Hawaii,Unknown,False,2.02
1615680,PHOG,"Kahului, Kahului Harbor",Kahului Airport,"Kahului, Kahului Harbor (1615680)",20.894945,-156.469,Hawaii,Unknown,False,4.09
1617433,PHSF,Kawaihae,Bradshaw Army Air Field,Kawaihae (1617433),20.0366,-155.8294,Hawaii,Unknown,False,40.83
1617760,PHTO,"Hilo, Hilo Bay, Kuhio Bay",Hilo International Airport,"Hilo, Hilo Bay, Kuhio Bay (1617760)",19.730278,-155.05556,Hawaii,Unknown,False,1.89
1619910,PMDY,"Sand Island, Midway Islands",Midway NAF,"Sand Island, Midway Islands (1619910)",28.211666,-177.36,Hawaii,Unknown,False,1.35
1630000,PWAK,"Apra Harbor, Guam",Wake Island Airfield,"Apra Harbor, Guam (1630000)",13.443389,144.65636,Hawaii,Unknown,False,2416.97
1631428,PWAK,"Pago Bay, Guam",Wake Island Airfield,"Pago Bay, Guam (1631428)",13.428333,144.79889,Hawaii,Unknown,False,2402.89
1770000,PHKO,"Pago Pago, American Samoa","Kailua / Kona, Keahole Airport","Pago Pago, American Samoa (1770000)",-14.28,-170.69,Hawaii,Unknown,False,4100.95
1820000,PWAK,"Kwajalein, Marshall Islands",Wake Island Airfield,"Kwajalein, Marshall Islands (1820000)",8.731667,167.73611,Hawaii,Unknown,False,1180.78
1890000,PWAK,"Wake Island, Pacific Ocean",Wake Island Airfield,"Wake Island, Pacific Ocean (1890000)",19.290556,166.6175,Hawaii,Unknown,False,12.36
